"cnpj","nome","cidade","estado","produto","valor","data_cadastro"
"42,299,370,000,111.00","POSTO RUBI","RIO DE JANEIRO","RJ","Etanol","3.399","11/5/2018 16:01"
"42,299,370,000,111.00","POSTO RUBI","RIO DE JANEIRO","RJ","GNV","2.899","11/5/2018 16:01"
"42,299,370,000,111.00","POSTO RUBI","RIO DE JANEIRO","RJ","Diesel S500","3.559","11/5/2018 16:01"
"42,299,370,000,111.00","POSTO RUBI","RIO DE JANEIRO","RJ","Diesel S10","3.659","11/5/2018 16:01"
"48,299,440,000,118.00","KOIKE, KOIKE & CIA LTDA","SAO MANUEL","SP","Gasolina C Comum","4.5","6/20/2018 13:27"
"48,299,440,000,118.00","KOIKE, KOIKE & CIA LTDA","SAO MANUEL","SP","Etanol","2.98","6/20/2018 13:27"
"48,299,440,000,118.00","KOIKE, KOIKE & CIA LTDA","SAO MANUEL","SP","Diesel S500","3.41","6/20/2018 13:27"
"53,328,944,000,159.00","AUTO POSTO BANDEIRA","GUARATINGUETA","SP","Gasolina C Comum","4.079","10/8/2019 16:38"
"53,328,944,000,159.00","AUTO POSTO BANDEIRA","GUARATINGUETA","SP","Etanol","2.779","8/15/2019 9:30"
"53,328,944,000,159.00","AUTO POSTO BANDEIRA","GUARATINGUETA","SP","Diesel S500","3.639","10/8/2019 16:38"
"53,328,944,000,159.00","AUTO POSTO BANDEIRA","GUARATINGUETA","SP","Diesel S10","3.769","10/8/2019 16:38"
"58,662,446,000,161.00","AUTO POSTO 4R LTDA.","CACAPAVA","SP","Gasolina C Comum","4.079","10/8/2019 16:43"
"58,662,446,000,161.00","AUTO POSTO 4R LTDA.","CACAPAVA","SP","Etanol","2.799","16/11/2019 14:17"
"58,662,446,000,161.00","AUTO POSTO 4R LTDA.","CACAPAVA","SP","Diesel S500","3.429","16/11/2019 14:17"
"58,662,446,000,161.00","AUTO POSTO 4R LTDA.","CACAPAVA","SP","Diesel S10","3.529","16/11/2019 14:17"
"61,109,229,000,153.00","AUTO POSTO DA FÉ LTDA","SAO PAULO","SP","Gasolina C Comum","4.299","7/31/2018 11:38"
"61,109,229,000,153.00","AUTO POSTO DA FÉ LTDA","SAO PAULO","SP","Etanol","2.599","7/31/2018 11:38"
"61,109,229,000,153.00","AUTO POSTO DA FÉ LTDA","SAO PAULO","SP","Diesel S10","3.439","7/31/2018 11:38"
"70,056,510,000,166.00","POSTO GONZAGAO","EXU","PE","Gasolina C Comum","4.659","1/7/2019 16:38"
"70,056,510,000,166.00","POSTO GONZAGAO","EXU","PE","Etanol","3.779","1/7/2019 16:38"
"70,056,510,000,166.00","POSTO GONZAGAO","EXU","PE","Diesel S10","3.609","1/7/2019 16:38"
"72,408,842,000,198.00","ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA","RIO DE JANEIRO","RJ","Gasolina C Comum","4.999","25/11/2019 09:56"
"72,408,842,000,198.00","ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA","RIO DE JANEIRO","RJ","Etanol","4.299","25/11/2019 09:56"
"72,408,842,000,198.00","ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA","RIO DE JANEIRO","RJ","GNV","3.149","25/11/2019 09:56"
"72,408,842,000,198.00","ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA","RIO DE JANEIRO","RJ","Diesel S10","3.999","25/11/2019 09:56"
"75,474,288,000,135.00","COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA","TREZE DE MAIO","SC","Gasolina C Comum","4.479","8/22/2018 18:39"
"75,474,288,000,135.00","COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA","TREZE DE MAIO","SC","Etanol","3.929","8/22/2018 18:39"
"75,474,288,000,135.00","COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA","TREZE DE MAIO","SC","Diesel S500","3.329","8/22/2018 18:39"
"76,840,198,000,183.00","SULCAR POSTO DE SERVICOS LTDA","FLORIANOPOLIS","SC","Gasolina C Comum","3.799","7/16/2019 8:11"
"76,840,198,000,183.00","SULCAR POSTO DE SERVICOS LTDA","FLORIANOPOLIS","SC","Etanol","3.999","7/16/2019 8:11"
"76,840,198,000,183.00","SULCAR POSTO DE SERVICOS LTDA","FLORIANOPOLIS","SC","Diesel S10","3.849","7/16/2019 8:11"
"80,806,904,000,148.00","POSTOS MAX","FLORIANOPOLIS","SC","Gasolina C Comum","4.199","9/25/2018 9:02"
"80,806,904,000,148.00","POSTOS MAX","FLORIANOPOLIS","SC","Diesel S10","3.499","9/25/2018 9:02"
"83,392,050,000,199.00","POSTO ZANDONA 12","BLUMENAU","SC","Gasolina C Comum","4.097","6/25/2018 11:09"
"83,392,050,000,199.00","POSTO ZANDONA 12","BLUMENAU","SC","Etanol","3.497","6/25/2018 11:09"
"83,392,050,000,199.00","POSTO ZANDONA 12","BLUMENAU","SC","GNV","2.197","6/25/2018 11:09"
"83,392,050,000,199.00","POSTO ZANDONA 12","BLUMENAU","SC","Diesel S500","3.437","6/25/2018 11:09"
"83,392,050,000,199.00","POSTO ZANDONA 12","BLUMENAU","SC","Diesel S10","3.537","6/25/2018 11:09"
"83,607,333,000,100.00","POSTO OURO VERDE LTDA","OURO VERDE","SC","Gasolina C Comum","4.58","8/29/2018 10:34"
"83,607,333,000,100.00","POSTO OURO VERDE LTDA","OURO VERDE","SC","Diesel S500","3.79","8/29/2018 10:34"
"83,607,333,000,100.00","POSTO OURO VERDE LTDA","OURO VERDE","SC","Diesel S10","3.89","8/29/2018 10:34"
"84,437,136,000,153.00","POSTO MARECHAL","JARAGUA DO SUL","SC","Gasolina C Comum","4.175","7/13/2018 8:55"
"84,437,136,000,153.00","POSTO MARECHAL","JARAGUA DO SUL","SC","Etanol","3.375","7/13/2018 8:55"
"84,437,136,000,153.00","POSTO MARECHAL","JARAGUA DO SUL","SC","Diesel S10","3.335","7/13/2018 8:55"
"87,012,050,000,177.00","POSTO COOMOCA","CACHOEIRA DO SUL","RS","Gasolina C Comum","4","7/13/2018 10:57"
"87,012,050,000,177.00","POSTO COOMOCA","CACHOEIRA DO SUL","RS","Etanol","3","7/13/2018 10:57"
"87,012,050,000,177.00","POSTO COOMOCA","CACHOEIRA DO SUL","RS","Diesel S500","3","7/13/2018 10:57"
"87,012,050,000,177.00","POSTO COOMOCA","CACHOEIRA DO SUL","RS","Diesel S10","3","7/13/2018 10:57"
"87,246,179,000,301.00","DISTRIBUIDORA DE GAS PINGUIM","LAJEADO","RS","Gasolina C Comum","4.399","23/10/2019 14:59"
"87,246,179,000,301.00","DISTRIBUIDORA DE GAS PINGUIM","LAJEADO","RS","Diesel S500","3.759","23/10/2019 14:58"
"87,246,179,000,301.00","DISTRIBUIDORA DE GAS PINGUIM","LAJEADO","RS","Diesel S10","3.859","23/10/2019 14:58"
"91,424,135,000,130.00","ABASTECEDORA TRES AMIGOS LTDA","NOVO HAMBURGO","RS","Gasolina C Comum","4.599","7/14/2018 10:17"
"91,424,135,000,130.00","ABASTECEDORA TRES AMIGOS LTDA","NOVO HAMBURGO","RS","GNV","2.899","7/14/2018 10:17"
"91,424,135,000,130.00","ABASTECEDORA TRES AMIGOS LTDA","NOVO HAMBURGO","RS","Diesel S500","3.199","7/14/2018 10:17"
"91,424,135,000,130.00","ABASTECEDORA TRES AMIGOS LTDA","NOVO HAMBURGO","RS","Diesel S10","3.299","7/14/2018 10:17"
"93,777,456,000,143.00","POSTO PAMPEANO II","CACAPAVA DO SUL","RS","Gasolina C Comum","4.947","6/29/2018 12:01"
"93,777,456,000,143.00","POSTO PAMPEANO II","CACAPAVA DO SUL","RS","Etanol","4.149","6/29/2018 12:01"
"93,777,456,000,143.00","POSTO PAMPEANO II","CACAPAVA DO SUL","RS","Diesel S500","3.327","6/29/2018 12:01"
"93,777,456,000,143.00","POSTO PAMPEANO II","CACAPAVA DO SUL","RS","Diesel S10","3.394","6/29/2018 12:01"
"98,749,864,000,105.00","FIGUEIRA CENTRO COMERCIO E DERIVADOS DE COMBUSTIVEIS LTDA","VIAMAO","RS","Gasolina C Comum","4.399","14/10/2019 16:52"
"98,749,864,000,105.00","FIGUEIRA CENTRO COMERCIO E DERIVADOS DE COMBUSTIVEIS LTDA","VIAMAO","RS","Diesel S500","3.4","14/10/2019 16:52"
"98,749,864,000,105.00","FIGUEIRA CENTRO COMERCIO E DERIVADOS DE COMBUSTIVEIS LTDA","VIAMAO","RS","Diesel S10","3.499","14/10/2019 16:52"
