"cnpj","nome","cidade","estado","produto","valor","data_cadastro"
"2,315,421,000,137.00","POSTO 1350 LTDA","ITAJAI","SC","Diesel S10","3.299","8/14/2018 12:18"
"2,433,811,000,101.00","POSTO NAVES","FIGUEIROPOLIS","TO","Gasolina C Comum","4.899","7/11/2018 12:43"
"2,433,811,000,101.00","POSTO NAVES","FIGUEIROPOLIS","TO","Etanol","3.899","7/11/2018 12:43"
"2,433,811,000,101.00","POSTO NAVES","FIGUEIROPOLIS","TO","Diesel S500","3.639","7/11/2018 12:43"
"2,433,811,000,101.00","POSTO NAVES","FIGUEIROPOLIS","TO","Diesel S10","3.739","7/11/2018 12:43"
"2,446,327,000,389.00","POSTO HP 2","MORAUJO","CE","Gasolina C Comum","4.97","5/23/2019 12:57"
"2,446,327,000,389.00","POSTO HP 2","MORAUJO","CE","Etanol","3.94","5/23/2019 12:57"
"2,446,327,000,389.00","POSTO HP 2","MORAUJO","CE","Diesel S500","3.85","5/23/2019 12:57"
"2,446,327,000,389.00","POSTO HP 2","MORAUJO","CE","Diesel S10","3.89","5/23/2019 12:57"
"2,455,511,000,123.00","AUTO POSTO 020","FORMOSA","GO","Gasolina C Comum","4.399","9/17/2019 16:18"
"2,455,511,000,123.00","AUTO POSTO 020","FORMOSA","GO","Etanol","2.999","26/11/2019 11:52"
"2,455,511,000,123.00","AUTO POSTO 020","FORMOSA","GO","Diesel S500","3.659","11/5/2019 15:47"
"2,455,511,000,123.00","AUTO POSTO 020","FORMOSA","GO","Diesel S10","3.699","11/5/2019 15:47"
"2,513,158,000,190.00","POSTO HS","PORANGATU","GO","Gasolina C Comum","4.79","10/8/2019 9:26"
"2,513,158,000,190.00","POSTO HS","PORANGATU","GO","Etanol","3.09","10/8/2019 9:26"
"2,513,158,000,190.00","POSTO HS","PORANGATU","GO","Diesel S500","3.99","10/8/2019 9:26"
"2,513,158,000,190.00","POSTO HS","PORANGATU","GO","Diesel S10","4.09","10/8/2019 9:26"
